Function,Trial_1,Trial_2,Trial_3,Trial_4,Trial_5,Trial_6,Trial_7,Trial_8,Trial_9,Trial_10,Trial_11,Trial_12,Trial_13,Trial_14,Trial_15,Trial_16,Trial_17,Trial_18,Trial_19,Trial_20,Trial_21,Trial_22,Trial_23,Trial_24,Trial_25,Trial_26,Trial_27,Trial_28,Trial_29,Trial_30,Mean,Std_Dev
1,3.126388037344441e-12,2.7853275241795927e-12,3.865352482534945e-12,2.5579538487363607e-12,2.2168933355715126e-12,3.240074875066057e-12,3.865352482534945e-12,2.8421709430404007e-12,2.9558577807620168e-12,3.865352482534945e-12,3.467448550509289e-12,2.3874235921539366e-12,3.353761712787673e-12,3.296918293926865e-12,2.2168933355715126e-12,1.8189894035458565e-12,2.4442670110147446e-12,3.410605131648481e-12,3.694822225952521e-12,5.059064278611913e-12,2.3305801732931286e-12,3.694822225952521e-12,3.581135388230905e-12,1.9326762412674725e-12,3.0127011996228248e-12,2.0463630789890885e-12,5.286437954055145e-12,3.922195901395753e-12,2.3305801732931286e-12,3.240074875066057e-12,3.1282828179731343e-12,8.291456978011448e-13
2,4.678497589338804e-09,2.3342181521002203e-09,7.032497251202585e-09,2.4083988137135748e-09,2.3500774659623858e-09,1.0020357876783237e-09,4.629839622793952e-09,3.014065441675484e-09,3.2895854928938206e-09,1.802277438400779e-09,1.2071836863469798e-09,1.9288677322037984e-09,3.814704996329965e-09,2.509011665097205e-09,1.1949055078730453e-09,3.758827915589791e-09,6.16120132690412e-09,2.261799636471551e-09,2.557840161898639e-09,2.9106104193488136e-09,2.9864395401091315e-09,2.131798737536883e-09,3.753712007892318e-09,1.8784476196742617e-09,5.371703082346357e-10,1.0992380339303054e-09,4.529852049017791e-09,3.743139131984208e-10,1.038927166518988e-09,1.1104361874458846e-09,2.676226055579415e-09,1.5712777671995883e-09
3,22.771520892192257,31.395360220190696,34.587113860596105,22.875862774579787,26.272759338189985,26.141644221002707,32.53623380981389,31.871629415385087,17.33918448778263,27.892444379887138,36.212905948959474,30.82131634913742,26.72695278038043,18.930851321984278,30.587387123074222,31.525647380762848,33.103220641370626,27.888963280924372,28.481360045886618,26.489102964131007,19.180310901350822,22.16562122763571,16.264859972804402,35.348946570423436,30.86794321162165,26.372125483070135,28.068609939475323,34.38286834825806,25.689786288022106,26.140827128436285,27.631112010244316,5.263194037984933
4,24.8739108449098,16.914288858816576,11.939498609534098,20.894099854956835,23.878992181216404,19.89914583182474,15.919329800220453,10.944539555112101,23.878977022469485,15.919329800088917,21.88905890814715,14.92437074311249,15.919329805933558,28.853742035411756,20.89409985111979,20.894099851223928,21.889058908246056,25.86889009868969,24.873931041689275,22.88401796526898,16.914268660529615,22.88403312410776,28.853742035650043,9.949580495339319,10.94453955245126,20.894120047726005,19.899160990857695,19.899160990705354,15.919329800260584,13.929416723825625,19.46800213298151,5.0516816677727325
5,170.1245043306094,92.11772577007048,71.35178899090624,59.1505060083706,123.5854867860885,67.62543088876782,94.49337292562063,148.40493117088317,4.972626593557379,152.17210649690878,97.85090271352999,159.19648779006684,105.28734361812542,116.66543495165627,146.3242490702769,162.1252697039754,29.244014866054385,191.40678135190365,34.860273674560744,131.14210499931778,92.86295242185327,150.8457754437013,140.28268222792417,200.31686899159217,90.10610103902275,78.23511512767641,182.22951749026834,205.03995016542262,76.60805166206899,107.33961788495276,116.06559917185777,50.70849128652554
6,0.7914142778179212,1.2234683484878133,0.11815381194674046,0.3253632514001765,0.17009400805318364,0.4672317041190581,0.703229555678945,1.0927198132887952,0.35707623401231103,0.7682284178133614,1.2487376857020536,1.2252034519201516,0.5625648060674848,0.4742385530305455,0.5897947600376483,1.0755966014494334,1.1939797832571912,0.491298210786681,0.47411905374360686,0.07094688946244787,0.4578831250773874,0.3211231650884656,0.48365154067641924,0.48579132135296277,0.22617026538159735,1.245792306048088,0.48689912995291706,0.11179783266516097,0.6231487215177367,0.40653547171700666,0.6090750699184431,0.3633061111099847
7,37.56146779822575,34.71425550267827,44.580197484073324,35.177349209561726,37.352069359304096,50.104788167418064,27.238397479716923,41.54667966201532,34.364566224890496,39.33877601773247,38.85141945438795,47.8161228653762,33.33215644712641,36.17057967341884,39.548133632207964,47.96034458243298,43.088753562650936,37.39987421660339,51.65474742214974,29.755746892163643,31.15055180876584,28.80966079702648,32.01336543019988,58.57141060653521,38.19753613252942,37.310157937643,57.56438874944479,36.51539002242225,59.88535917476065,39.760777760204064,40.24450080245553,8.492972734222583
8,21.15480982562849,22.606187292804407,22.913391285711896,23.55087018698623,25.209216087111145,23.188143972852686,24.349291796217585,25.199158023346627,22.3163233015257,23.900082387943257,23.71300416115264,23.512329127819612,24.008397977097047,23.083586273199217,25.12087072308941,22.645398246842433,23.67400332929128,25.30602211434234,23.54999915803819,25.667852722272983,24.17981123964455,24.494144773073913,24.919592762754746,12.356775409134116,24.288700632046584,22.519684277014676,23.455299313832256,23.13146702760332,25.414427236152278,22.035271644891054,23.38213707698069,2.3195874250321538
9,7.4714025686262175e-06,100.00000524693996,1.0181742709391983e-05,100.00000716451405,200.0000067104338,200.00000444164698,100.00000555483393,7.20178150004358e-06,6.841663434897782e-06,100.00001236931257,200.0000110820206,1.1109475508419564e-05,5.570056600845419e-06,200.00000753626136,5.958587735221954e-06,8.115910986816743e-06,100.00000563924732,100.00000910239578,7.92553328210488e-06,1.3481413589033764e-05,7.335315331147285e-06,1.1893675491592148e-05,8.180172244465211e-06,9.037414656631881e-06,5.33898582943948e-06,8.851087386574363e-06,1.0039096196123865e-05,6.8731442297575995e-06,200.0000057653324,5.89573392062448e-06,53.33334126383773,76.30348714590954
10,100.53452896239378,100.59283596757905,100.50580216766275,100.54903207824782,100.43534058336354,100.61426759867618,100.56828717974713,100.62775667616597,100.56761536558861,100.73028058248929,100.77779517241925,100.79532707340377,100.39157978471485,100.64263592689849,100.69914916548169,100.4632125676053,100.51534564418444,100.65747645573583,100.55145821431734,100.4774086803036,100.54418431155091,100.62230337406436,100.63329480326047,100.67229886833229,100.54623175656798,100.57078957587964,100.67245237953557,100.52998917030527,100.58998866424099,100.44655133565993,100.58417400287921,0.09562361060784255
