Function,Trial_1,Trial_2,Trial_3,Trial_4,Trial_5,Trial_6,Trial_7,Trial_8,Trial_9,Trial_10,Trial_11,Trial_12,Trial_13,Trial_14,Trial_15,Trial_16,Trial_17,Trial_18,Trial_19,Trial_20,Trial_21,Trial_22,Trial_23,Trial_24,Trial_25,Trial_26,Trial_27,Trial_28,Trial_29,Trial_30,Mean,Std_Dev
1,8.799361239653081e-11,2.8137492336099967e-11,1.3430963008431718e-09,4.945377440890297e-12,8.981260180007666e-12,1.1084466677857563e-11,2.0463630789890885e-11,5.9685589803848416e-12,4.951061782776378e-11,1.3585577107733116e-11,1.3056364878138993e-09,1.2713030628219713e-09,5.286437954055145e-12,1.2945520211360417e-09,1.3487806427292526e-09,7.021867531875614e-10,2.3294433049159124e-10,6.633626981056295e-11,9.248424248653464e-11,5.002220859751105e-12,1.2107648217352107e-11,5.5138116294983774e-12,1.6541434888495132e-11,1.2448708730516955e-11,8.412825991399586e-12,1.8820855984813534e-10,5.11789721713285e-09,1.2107648217352107e-11,3.6777692002942786e-11,1.0970779840135947e-11,4.43975523012341e-10,9.917867921332081e-10
2,8.916101957102171,8.916102166138444,5.36343236490211e-08,3.9290625863941386e-08,8.916101981074178,8.916101992241579,3.986579142613209,8.916101934407493,3.9865793612956963,8.916101975265008,9.366146969114197e-09,5.475294528878294e-08,4.99859652336454e-07,1.055270217875659e-06,3.986579178789782,3.986579404841848,70.78108389186298,8.916102290647416,8.91610200791348,8.91610205645344,9.881649134513282e-07,8.916101964223401,3.9865791582519705,3.9865791372413355,8.916101990635752,3.9865791314115313,8.916102109864255,8.916101939607131,8.089136827038601e-08,70.78108384693934,9.512585046668388,16.7828826647622
3,75.66521015972307,80.63605614960761,34.77837585090526,59.73422157342361,110.58365181493855,114.24046134115508,49.51623421531451,71.76126590796787,79.23241029928874,89.82725592390216,111.1620091234281,44.835549128944876,126.50014579177912,52.75719686345599,77.59410579293706,40.13518428532916,85.89045724475636,66.74164680407875,73.17887860418546,34.9504275519389,48.428810527850146,100.99644229085993,43.22768110392951,88.09160785574738,112.15232627173066,19.80322897609608,46.608657540468585,99.66696783162718,34.343320210507954,43.83501771911517,70.5624934918331,28.52214077678708
4,31.83855339587103,55.71756091874454,50.74264912501906,82.5803421920782,99.49474829368796,97.50480979987469,11.939498609578436,68.65170912900123,67.65693294433754,35.81838458635309,44.773006024545,52.732688785274604,113.42434287958417,69.64658666296987,114.41736961985089,18.904206971400868,89.54547261504024,85.56537700121146,30.843675308527168,63.67685755495245,46.76291910096131,40.79317483400803,48.7527562453821,53.7274649699425,49.7478166518423,17.90922771756925,79.59622344691547,79.59608618865957,66.66183662893457,69.64670876237597,61.28896623214975,26.53044088812737
5,1336.466570460776,2486.1435870407704,1774.3202966786935,3058.511088240235,2273.213859503607,1301.5765005065132,2118.853353486308,1595.5209871925654,1436.380771482462,6.415955340344226e-06,1672.5123381031958,2103.860064195618,2357.0244289655334,1208.3055596443382,3713.4980665497587,3030.247416088527,461.03761446187264,1431.3207714451428,3765.145462607362,3289.126985917612,2113.755436845015,1082.4065546564584,191.15327424652037,2352.134994140989,2745.9463228774707,1758.1168602911184,1464.5867158754545,5.711626727133989e-10,2885.9380658996815,2078.6906424625017,1902.8598198760878,981.5876248075556
6,76.62277584832441,87.88068438047208,27.827200546890026,17.39808945478012,11.418606852904531,68.70386179738966,81.46791790311431,84.86627154252687,29.49189997745293,58.391047112556635,47.52468002115393,117.46726825639576,99.86237549548855,132.13243297875215,132.38763599298522,90.48209759432166,128.32441264224826,93.38060781305194,1.3090788632425756,33.28171383257745,61.72003547663098,46.3354137439087,131.71771887308,54.385062996435636,30.533693578299108,76.17400742407472,54.635263833211184,121.61224489663141,5.031063384707522,243.9598948615885,74.87750193250655,50.08473046347191
7,108.39546038224717,269.70016995357673,30.089222873068366,154.56939479086031,159.69880845488888,66.99347447610398,183.23632912567064,183.72611897487832,92.86795758540893,197.53773107166535,270.7129171454276,430.04232360467995,200.5128803306411,196.31658005495774,190.4198531905413,124.42127164157,242.89718942822446,29.073794453222717,69.21128758555733,238.61984738533874,118.4100071017092,123.32823308516254,174.5053948480222,223.16561763331356,233.49438153242545,33.72309520022168,128.75114689505608,312.7330366892197,306.4703688692366,191.14178403010783,176.15885594643345,90.10316754451866
8,145.68019401231322,32.79227962965524,142.83941769240937,142.4407301095289,153.15543834515574,24.18901949600422,153.1901938385431,142.00395465882775,35.34440119785586,157.55255044715386,26.24404196462001,34.383151381696734,35.417220809097216,22.269499497188008,31.365646024369653,155.22207123397857,199.62276674442865,23.285557911687647,56.75299074061968,58.30425254360989,43.80098443843917,142.72314025531796,25.04055795518252,143.913410932827,152.81068583714296,35.24959105044036,54.626500168147686,29.235397672320687,59.89295298524303,65.12778428749243,84.14921279537657,57.7068246708228
9,229.2844328472661,229.28442093328476,229.2843895080773,229.28438307476654,229.28442540029937,229.28438299717072,229.284418100518,376.21633303785575,376.2163399175097,229.2843944389142,229.28439570798173,229.28438447443023,229.284385315299,229.2843837929904,229.2843856330087,229.28447750367332,229.28438397145555,229.28438329502933,229.28438299010713,229.28438333322765,229.2843830916163,229.2843828309724,229.284388896343,229.2843879953839,229.28438789478014,229.2843830134102,376.21634596203603,229.28441142587099,229.2843914846153,229.28438427482843,243.97759043809074,44.07958306701915
10,1037.3131920221376,1783.8919958662373,1122.1019085994963,1775.2940264854697,687.6051625177442,1252.0832316727642,841.1362476832469,1780.3672371341909,1192.283951757233,1066.455122956796,1635.9900247328842,822.7899016538727,920.1287976612389,212.57294154462488,612.5678212168655,1700.3857717486962,1227.3375262554164,1136.8326606002047,1443.8328050538594,100.59070517764349,1630.990524666015,630.9136240458984,940.6222323571146,1087.772647660839,470.0131067407574,799.8431853181451,224.81679327287475,363.67876158134186,1106.1331824445178,1002.7120533119901,1020.3019047913373,473.256786091703
