Function,Trial_1,Trial_2,Trial_3,Trial_4,Trial_5,Trial_6,Trial_7,Trial_8,Trial_9,Trial_10,Trial_11,Trial_12,Trial_13,Trial_14,Trial_15,Trial_16,Trial_17,Trial_18,Trial_19,Trial_20,Trial_21,Trial_22,Trial_23,Trial_24,Trial_25,Trial_26,Trial_27,Trial_28,Trial_29,Trial_30,Mean,Std_Dev
1,0.11439039502005244,0.16355359999965913,0.141702499316807,0.16681298398970057,0.14142086616118377,0.1425069194963271,0.13413103856083808,0.1665959066914411,0.20316886483146845,0.18338507845891172,0.1634037440402949,0.16320391784472577,0.10788514200885402,0.1675564739811648,0.10217203812106845,0.16520670519986425,0.135817279110654,0.12434767025570181,0.21843997551656003,0.1856509620325255,0.14667166640822416,0.1538056917401036,0.15641812396717114,0.20253510728906576,0.08983635037861859,0.1829511072249943,0.15446153240486638,0.09868879296118394,0.10326143166241764,0.09814064418026192,0.14927075029515702,0.033273328076808405
2,4.08181313404333,5.055244053489616,4.253762994896533,8.917961345047274,0.30073582009225674,4.922047957515247,8.920018983580121,8.919833355578305,5.037601683073831,4.403724590945217,4.774411886378232,4.208808707148592,0.039303545770110304,8.920214247268689,0.43610900428524246,8.920995898327874,8.91769300019513,8.922168833249259,8.919474817486503,5.830156533151126,4.776789250788738,0.019124935263562293,8.920135719346547,0.20820587255855116,8.918148313979088,8.919926603981992,8.919170783009918,4.622050209192878,8.920309614153496,8.920889165249264,5.92822769530155,3.2035046613902898
3,0.24034177879980234,40.249594526993405,25.786756097236093,65.85377255394883,0.22584374421046505,7.9947310295312946,4.2716233375367665,42.631963633845544,71.46019069680506,52.00792822310427,41.10011021888488,2.885898993460728,32.92609804300241,21.336098072276172,2.1976000149259107,15.628939926402154,87.25793691685726,29.525733283844147,7.148218850321655,6.593672877801055,91.10990289552831,21.83089252427169,4.068986003302143,0.20864006980582417,5.6772071783466345,57.78991496375181,21.25086770447922,21.204381326276575,0.4154023611916955,0.22686270753342797,26.036870351809174,26.53873322794609
4,49.79890978182948,44.81448478572054,42.81749613653551,25.929180685992833,25.893346611602624,60.72913247639633,35.860524627091536,68.6984114648402,14.97853900260202,22.9369801764974,44.81310822827959,31.876560553563536,32.8803559408567,17.955775326583307,12.991810962980708,23.927181569036406,12.997355665783516,26.913678502059383,10.985271475206673,12.992465881072576,50.77748090469436,18.936726944646466,19.935632576399712,31.880573462696475,23.90969582410787,25.90445634267121,34.6567588318444,64.71102910937793,7.007092864930087,28.890759672104764,30.91335921293347,15.976047709056765
5,0.0430740040441151,280.74581258124203,0.03841675515297993,0.03634484941437677,2115.390478886534,0.05480655693247627,1339.566627412174,777.4440243677998,0.034909076613644174,0.0551208397685059,1799.263147352271,716.3003283434373,1817.545021618345,0.5082901239027251,0.026457378372583662,1952.0411501613344,0.04513882485935028,1970.9761675097943,933.9293712604838,1451.9127605362805,0.05716463263377136,0.03099782486560798,0.026727756638024402,0.02819369219400869,359.3005440257848,2615.2118757467388,760.2669585715641,0.033444986220274586,2912.1622790916954,0.023431864155327276,726.7699688877084,910.3704576130074
6,7209.40197041779,6861.688282215224,3547.619644173041,4315.346921346691,11256.552997276573,7180.080006020149,6691.994968613952,9190.994496012538,2190.329478347379,3279.326334616182,7769.7978070515055,8829.82164167162,5603.960665221051,7405.431295386879,4208.344832537988,5881.633479385944,5801.530781823957,6644.1009726590855,5545.856459163892,5551.9647150922365,4400.111863033022,5461.749543426388,9684.470523300879,2262.160115179564,5752.028770047429,6384.7647893877065,9418.413927599624,7383.759309578327,9741.751250206133,4928.32008218038,6346.110264099104,2204.3680183755146
7,158.91008583762368,84.2551026868482,47.394538485982366,268.97074461371494,187.74395732242192,74.6410048315065,69.43143676463023,227.80128370150987,107.76099743649365,46.77491629196447,58.05151192096946,128.66481758435884,189.3575649672125,263.13037052210075,82.23618431150862,66.97406690106482,180.5806543184217,66.86062436089378,89.22529851163836,222.05645279312876,92.05783035346349,155.01500625566587,64.98526966353484,248.97003539183925,44.016883409041384,84.46933036932933,35.76326413879178,296.34939392349906,196.81833013548385,173.28947129749304,133.7518809700712,76.99801938182878
8,143.24655761135,151.2332988419189,34.870850279400656,147.25827315937386,152.4785839155984,15.593799794397455,146.4744834809967,145.22680799274667,153.76050321499406,144.97197094033345,149.53719320771233,25.063906039776157,153.14141791108523,29.74445211210741,142.30256385193206,191.03252830486326,158.40708993846692,25.448567703737353,58.96182295875178,58.63896779236711,27.192156288966544,31.111102940432374,145.09234227994148,160.54239178412763,152.66466081417911,17.34189441143235,122.75164045108204,23.84755708272496,60.97315194867724,64.17269218127149,101.10277430782483,58.502085559441255
9,229.30748594638408,229.31436995470722,229.66171136289722,229.29022138618438,229.52105761776193,229.41696074873607,229.3561176507137,229.3072243233687,229.66379929382856,229.61795912293155,229.73795336910598,229.30109607690474,229.2969975463334,229.47060833173373,229.71247482849594,229.34836659433586,229.34961180233768,229.37869287612602,229.69819547284305,229.29695296131786,229.435954676846,229.73101479200704,229.53492284766935,229.36241530372263,229.3300199329724,229.37921669348998,229.29740355098374,229.8356744638636,229.47220650998952,229.37171607588925,229.45994673714947,0.16490287818403793
10,100.37836103706559,2128.180989937755,1578.9294985919464,969.9494628019456,815.2641682845765,1618.6043315146117,924.1535970703853,970.4702346265713,1347.1805004251914,1372.3944777589763,1861.4363274098641,100.35662849406845,1436.0186516597705,260.17567643294115,954.6301173922916,1444.378617985306,1078.0555730052329,1075.0497453779035,1218.425103020376,100.4522687622175,1352.166729937836,100.47889265945423,1650.42284488955,1018.6852112532106,747.6901266986606,835.7583178109426,214.99227405630472,1058.592668818275,1573.3695112801743,1064.491360088572,1032.3710756360658,542.4076981093776
